date,user_id,user_name,category,amount,payment_method
29-06-2026,,Sneha Reddy,Healthcare,725.11,Net Banking
2026-05-26,2,Priya Nair,Healthcare,744.79,Net Banking
06/15/2026,,Priya Nair,Dining Out,"₹1,111.20",Cash
2026-06-03,5,Rohan Verma,Healthcare,,UPI
03-05-2026,1,Arjun Mehta,Groceries,2096.55,Net Banking
2026-05-10,2,Priya Nair,Transportation,,Cash
2026-05-20,3,Karthik Iyer,Transportation,,UPI
2026-06-29,4,Sneha Reddy,Entertainment,526.34,Net Banking
2026-06-09,1,Arjun Mehta,Groceries,"₹1,579.20",UPI
2026-06-12,2,Priya Nair,Entertainment,506.11,Card
21-06-2026,4,Sneha Reddy,Dining Out,852.97,Cash
2026-05-26,4,Sneha Reddy,Dining Out,1045.42,UPI
2026-06-22,2,Priya Nair,Groceries,1605.3,Cash
2026-05-16,4,Sneha Reddy,Entertainment,650.36,Card
11-06-2026,5,Rohan Verma,Shopping,2853.43,Card
2026-06-29,5,Rohan Verma,Dining Out,1415.17,Cash
2026-05-12,2,Priya Nair,Transportation,,Card
2026-05-26,5,Rohan Verma,Healthcare,615.4,UPI
2026-05-20,2,Priya Nair,Utilities,1513.13,Net Banking
2026-06-03,3,Karthik Iyer,Groceries,1783.71,Net Banking
2026-05-20,5,Rohan Verma,Entertainment,415.24,Net Banking
2026-06-10,4,Sneha Reddy,Groceries,2052.72,Net Banking
16-05-2026,3,Karthik Iyer,Entertainment,Rs.738.57,Cash
2026-05-08,1,Arjun Mehta,Groceries,,UPI
2026-05-01,3,Karthik Iyer,Entertainment,₹642.32,Card
2026-05-10,2,Priya Nair,Transportation,,Cash
05/02/2026,2,Priya Nair,Entertainment,₹293.60,Net Banking
2026-06-30,2,Priya Nair,Utilities,"Rs.1,612.55",Cash
17-06-2026,3,Karthik Iyer,Entertainment,673.55,Net Banking
2026-06-01,3,Karthik Iyer,Healthcare,923.39,Card
20-05-2026,3,Karthik Iyer,Utilities,N/A,Card
2026-05-11,4,Sneha Reddy,Transportation,₹258.92,Cash
2026-05-13,2,Priya Nair,Entertainment,Rs.431.90,UPI
03-06-2026,1,Arjun Mehta,Groceries,1989.07,Card
2026-06-28,4,Sneha Reddy,Healthcare,Rs.753.02,Card
2026-05-03,1,Arjun Mehta,Transportation,-438.06,UPI
2026-06-27,1,Arjun Mehta,Shopping,1644.63,Net Banking
2026-06-06,2,Priya Nair,Entertainment,N/A,Cash
2026-06-19,4,Sneha Reddy,Healthcare,-891.83,Card
04-05-2026,1,Arjun Mehta,Transportation,515.16,UPI
2026-06-11,1,Arjun Mehta,Healthcare,653.78,Cash
2026-05-05,5,Rohan Verma,Utilities,2114.43,Cash
2026-06-10,5,Rohan Verma,Transportation,₹355.15,Net Banking
23-06-2026,1,Arjun Mehta,Transportation,₹425.87,Card
06/17/2026,2,Priya Nair,Healthcare,899.92,Net Banking
2026-05-14,1,Arjun Mehta,Entertainment,,Cash
2026-05-06,2,Priya Nair,Entertainment,752.26,Net Banking
2026-05-11,1,Arjun Mehta,Entertainment,532.9,UPI
2026-05-18,2,Priya Nair,Shopping,"₹2,732.17",Net Banking
16-05-2026,4,Sneha Reddy,Healthcare,Rs.949.41,Cash
